label,aggregation,selection_count,selection_fraction,threshold_mean_when_selected,threshold_median_when_selected,threshold_std_when_selected,cal_f1_mean_when_selected
Brene_Brown,mean,2,0.1,0.5,0.5,0.0,1.0
Brene_Brown,max,8,0.4,0.8812500000000001,0.905,0.06266407036161721,0.991814710940416
Brene_Brown,top2mean,2,0.1,0.52,0.52,0.0,0.9811708860759494
Brene_Brown,top3mean,8,0.4,0.5,0.5,0.0,0.9912178277070717
Eckhart_Tolle,mean,1,0.05,0.5,0.5,0.0,1.0
Eckhart_Tolle,max,0,0.0,,,,
Eckhart_Tolle,top2mean,19,0.95,0.5,0.5,0.0,1.0
Eckhart_Tolle,top3mean,0,0.0,,,,
Eric_Thomas,mean,10,0.5,0.52,0.53,0.022607766610417582,0.9450313648032699
Eric_Thomas,max,0,0.0,,,,
Eric_Thomas,top2mean,4,0.2,0.9025,0.9,0.0050000000000000044,0.9619784756007667
Eric_Thomas,top3mean,6,0.3,0.7600000000000001,0.75,0.015491933384829683,0.9378957317592013
Gary_Vee,mean,3,0.15,0.5,0.5,0.0,1.0
Gary_Vee,max,0,0.0,,,,
Gary_Vee,top2mean,6,0.3,0.5033333333333333,0.5,0.008164965809277266,0.9927470190628084
Gary_Vee,top3mean,11,0.55,0.51,0.5,0.03405877273185283,0.9975317289571554
Jay_Shetty,mean,14,0.7,0.7407142857142857,0.8049999999999999,0.15081645929938944,0.9879307192455433
Jay_Shetty,max,0,0.0,,,,
Jay_Shetty,top2mean,0,0.0,,,,
Jay_Shetty,top3mean,6,0.3,0.9066666666666667,0.9,0.01632993161855449,0.9746662254645448
Nick_Vujicic,mean,10,0.5,0.4579999999999999,0.43,0.03614784456460256,1.0
Nick_Vujicic,max,0,0.0,,,,
Nick_Vujicic,top2mean,0,0.0,,,,
Nick_Vujicic,top3mean,10,0.5,0.609,0.63,0.04581363212940978,0.9833701240985139
other_speaker_present,mean,6,0.3,0.5833333333333334,0.585,0.02338090388900023,0.948047376962322
other_speaker_present,max,0,0.0,,,,
other_speaker_present,top2mean,4,0.2,0.8375,0.825,0.02872281323269017,0.9448692636192636
other_speaker_present,top3mean,10,0.5,0.769,0.76,0.02330951164939614,0.9507160188952106
music_present,mean,14,0.7,0.5057142857142857,0.49,0.04535573676110726,0.9615842881661297
music_present,max,2,0.1,0.915,0.915,0.04949747468305829,0.9624843876276541
music_present,top2mean,3,0.15,0.8633333333333333,0.85,0.07094598884597583,0.9622539532450599
music_present,top3mean,1,0.05,0.71,0.71,0.0,0.9673590504451038
audience_reaction_present,mean,3,0.15,0.21666666666666667,0.23,0.023094010767585032,0.6169420702754036
audience_reaction_present,max,11,0.55,0.6845454545454546,0.68,0.06802405991465613,0.6289535672934883
audience_reaction_present,top2mean,3,0.15,0.5466666666666667,0.54,0.05033222956847165,0.5775308641975309
audience_reaction_present,top3mean,3,0.15,0.37333333333333335,0.3,0.1270170592217177,0.5745007680491553
silence_present,mean,0,0.0,,,,
silence_present,max,2,0.1,0.655,0.655,0.24748737341529162,0.35384615384615387
silence_present,top2mean,15,0.75,0.36,0.38,0.05196152422706632,0.39254786798646446
silence_present,top3mean,3,0.15,0.51,0.5,0.01732050807568879,0.3878787878787879
